Title,Location,Date,Time
RHU_Choir_Fundraising_Trivia_Night_20_April_2024,Preston Drive 21_4319_Umhlanga_KwaZulu-Natal_South Africa,2024-04-20,16:30:00
Sky-Dine_Incanto,100 Voortrekker Road _Salt River_7925_Cape Town_Western Cape_South Africa,2024-04-20,17:00:00
Dirk_Van_Der_Westhuizen_show_Klerksdorp,Bishop Street 1_2571_Klerksdorp_North West_South Africa,2024-04-20,12:00:00
Unhorsed_and_Unscripted_-_A_Fantasy_Medieval_Improvised_Show,Hout Street 80_Cape Town City Centre_8000_Cape Town_Western Cape_South Africa,2024-04-20,18:00:00
Bake_N_Bask,Commissioner Street 281_2043_Johannesburg_Gauteng_South Africa,2024-04-20,11:00:00
Haunted_Train_Ghost_Dinner_-_HEIDELBERG_-_20_April_2024_-_R_599_PER_PERSON_(6pm_-_10pm),Corner of Voortrekker &_Peperboom St_Heidelberg - GP_1441_1441_Heidelberg - GP_Gauteng_South Africa,2024-04-20,16:00:00
"Siya_Seya_LIVE_in_Menlyn,_Pretoria_at_The_Protea_Hotel_Fire_&_Ice!_20_April_2024",N1_213 Thys Street_Summit Place Precinct (Corner of North & Garsfontein Offramp) N1_Pretoria_0063_Pretoria_Gauteng_South Africa,2024-04-20,18:00:00
"True_Origin_feat._Amy_Jones_and_Chad_Saaiman_LIVE_@_Roxy_Revue_Bar,_GrandWest",Jakes Gerwel Drive 1_Ruyterwacht_7460_Cape Town_Western Cape_South Africa,2024-04-20,15:00:00
Mike_McGully_&_The_Harmonix_60s_&_70s_Show,"Sandbaai Saal, Hermanus",2024-04-20,17:00:00
Aluta_Open_Nights_,Observatory Road 1_Observatory_7925_Cape Town_Western Cape_South Africa,2024-04-20,18:00:00
Beijing_Opera_Presents:_Bao_&_Beats,6th Street 30_2196_Johannesburg_Gauteng_South Africa,2024-04-20,10:00:00
420_Games_Day_-_Celebrate_420_at_Bud_Restaurant_@_Alphagram_20_April_2024,Aquairus Apartments_1st Floor_Blaauwberg Road 10_Table View_7439_Cape Town_Western Cape_South Africa,2024-04-20,07:00:00
80's_Tribute_show_and_Trivia,Roos Street 8_7201_Onrus_Western Cape_South Africa,2024-04-20,16:00:00
Cape_Town_Ceilidh_Club_April_Ceilidh,Main Road 231_Claremont_7708_Cape Town_Western Cape_South Africa,2024-04-20,16:30:00
CHEFS_VERSUS_-_5TH_EDITION,Port Bell Road Plot 79_Portbell Road_Bugolobi/P.O. Box 11255_Kampala_Central Region_Uganda,2024-04-20,09:00:00
CTAFF2024_-_Shaped_by_Water,Orange Street 68_Gardens_8000_Cape Town_Western Cape_South Africa,2024-04-20,18:30:00
Karen_Zoid_&_Henry_Steel,Overberg DC_6940_6940_Overberg DC_Western Cape_South Africa,2024-04-20,18:00:00
Klitsgras_Drumming_Circle_20th_April,Plot 62 Garsfontein Road (Cnr Garsfontein_Lerebisi & Tierpoort.)_Across Q4 & Shopping complex._0056_Tierpoort_Gauteng_South Africa,2024-04-20,14:00:00
